memberOf,memberOfStateLegislature
org-org,businessDivision
org-org,represents
org-loc,state
per-loc,origin
org-loc,campusLocation
per-per,victim
surveyor,quantitySurveyor
loc-loc,locatedOnAstronomicalBody
loc-per,firstAscentPerson
per,per-per
country,basinCountry
per-org,club
org-org,replacedBy
loc-loc,region
per-org,influenced
relative,parent
per-loc,residence
loc-org,architect
org-org,politicalParty
per-per,student
org-per,manager
per-loc,administrativeDivision
loc-org,occupant
loc-loc,childAstronomicalBody
org-per,associatedWith
loc,loc-org
editor,chiefEditor
org-loc,foundingLocation
county,ceremonialCounty
loc-loc,locatedOnStreet
org-org,predecessor
org-org,division
per-org,chiefExecutiveOfficerOf
loc,loc-loc
org-loc,locatedAt
loc-loc,namedAfter
administrativeDivision,county
loc-per,builder
member,boardMember
island,majorIsland
loc-per,manager
org-per,patron
organization,foundingOrganization
org-loc,origin
memberOf,memberOfParliament
org-loc,estate
org-per,investor
org-org,owner
loc-loc,locatedInArea
loc-per,tenant
patron,schoolPatron
loc-per,patron
team,prospectTeam
loc-org,developer
memberOf,pastMemberOf
org-loc,allegiance
club,homeClub
org-org,follows
per-per,replaces
org-loc,region
team,coachedTeam
loc-loc,station
head,finalRuler
org-org,club
tributary,leftTributary
org-org,memberOf
politicalParty,politicalPartyOfLeader
loc-org,club
org-org,distributingLabel
advisor,doctoralAdvisor
org-per,conductor
coach,assistantCoach
religiousInstitution,temple
loc-org,governingBody
chief,chiefExecutiveOfficer
per-org,agentCompany
loc-loc,adjacentBuilding
loc-per,historian
org-loc,namedAfter
associatedWith,union
officeholder,dean
sourceOfWatercourse,sourcePlace
org-per,founder
per-org,influencedBy
per-loc,placeOfDeath
org-per,participant
loc-per,saint
loc-loc,lowestPlace
loc-per,surveyor
per-loc,disappearedPlace
loc-org,builder
org-org,publisher
officeholder,minister
team,draftTeam
league,prospectLeague
officeholder,president
memberOf,memberOfStateHouse
loc-loc,connectingService
loc-org,appliesToJurisdiction
officeholder,viceChancellor
officeholder,chancellor
editor,sportsEditor
head,currentHead
per-per,awardedBy
mouthOfWatercourse,mouthPlace
mouthOfWatercourse,mouthCountry
loc-org,leaderParty
editor,newsEditor
per-loc,significantBuilding
country,countryOfOrigin
org-per,head
org-loc,jurisdiction
team,olympicTeam
city,nearestCity
org-org,isPartOf
org-org,alliance
area,lieutenancyArea
org-loc,airlineHub
editor,associateEditor
editor,metroEditor
org-per,spokesperson
org-per,signatory
engineer,structuralEngineer
memberOf,memberOfMovement
organization,parentOrganization
org-per,crewMember
legislativeBody,upperHouse
org-per,administrator
org-org,ownerOf
loc-loc,placeServedByTransportHub
org-org,namedAfter
org,org-loc
per-org,chairpersonOf
loc-per,officeholder
loc-org,namedAfter
religiousInstitution,church
per-org,allegiance
loc-loc,hasJunctionWith
mountain,parentMountainPeak
loc-org,landlord
organization,childOrganization
per-loc,billedFrom
loc,loc-per
partner,lifePartner
org-per,officeholder
administrativeDivision,metropolitanBorough
loc-org,executiveBody
per-per,canonizedBy
org-org,successor
parent,stepParent
loc-loc,terminus
org-per,topScorer
chef,headChef
per-per,ordinatedBy
loc-per,pastor
loc-loc,administrativeDivision
loc-loc,archipelago
contains,containsAdministrativeUnit
